keyword,word_type,total_count,avg_tfidf,primary_category,word_length
干爽,其他,1,1.9506,纸尿裤,2
手柄,其他,1,2.0634,奶瓶,2
积木,品类词,1,1.8016,玩具,2
颗粒,其他,1,1.3254,玩具,2
拼装,其他,1,1.7444,玩具,2
清仓,其他,1,3.2978,纸尿裤,2
裤子,其他,1,1.3339,童装,2
长裤,其他,1,1.6861,童装,2
加宽,其他,1,1.914,瑜伽垫,2
鞋女,其他,1,2.391,运动鞋,2
燃脂,其他,1,2.391,跳绳,2
健身运动,其他,1,2.5029,跳绳,4
电脑包,其他,1,2.5029,背包,3
计数,其他,1,1.313,跳绳,2
无绳,其他,1,1.9858,跳绳,2
旅行包,其他,1,2.2832,背包,3
